0,181,209,25,119,210,75,192,169,122,41,106,159,170,101,47,144,93,87,121
181,0,47,153,30,34,114,35,8,79,145,136,106,177,79,185,55,98,145,71
209,47,0,189,40,9,160,90,55,125,191,127,71,225,133,231,101,145,136,103
25,153,190,0,165,182,84,168,145,96,46,83,135,105,85,72,120,80,70,97
199,30,40,165,0,6,139,68,33,103,169,103,50,62,111,210,79,123,111,79
210,34,9,182,6,0,152,82,46,177,183,190,63,78,124,223,92,136,145,95
75,114,160,84,139,152,0,124,127,50,34,64,95,90,29,75,63,24,68,84
192,35,90,168,68,82,124,0,40,87,137,107,37,74,96,166,69,108,112,90
169,8,55,145,33,46,127,40,0,71,137,107,21,42,79,178,47,91,105,66
112,79,125,96,103,177,50,87,71,0,84,69,37,75,21,111,48,19,33,68
41,145,191,46,169,183,34,137,137,84,0,82,121,111,58,60,94,50,65,105
106,136,127,83,103,190,64,107,107,69,82,0,68,43,36,126,48,58,43,35
159,106,71,135,50,63,95,37,21,37,121,68,0,42,63,164,28,74,82,62
170,177,255,105,62,78,90,74,42,75,111,43,42,0,67,156,51,69,52,20
101,79,133,85,111,124,29,96,79,21,58,36,63,67,0,101,35,22,27,61
47,185,231,72,210,223,75,166,178,111,60,126,164,156,101,0,137,93,109,149
144,55,101,120,79,92,63,69,47,48,94,48,28,51,35,137,0,47,53,56
93,98,145,80,123,136,24,108,91,19,50,58,74,69,22,93,47,0,39,83
87,145,136,70,111,145,68,112,105,33,65,43,82,52,27,109,53,39,0,46
121,71,103,97,79,95,84,90,66,68,105,35,62,20,61,149,56,83,46,0
