0,-1,-1,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,54,-1,-1,-1,-1
-1,0,-1,-1,43,45,-1,41,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,0,-1,-1,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
35,-1,-1,0,-1,-1,118,-1,-1,-1,60,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,43,-1,-1,0,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,45,11,-1,8,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,118,-1,-1,0,-1,-1,-1,-1,41,-1,-1,-1,34,-1,-1,30,-1,-1
-1,41,-1,-1,-1,-1,-1,0,-1,130,-1,-1,53,-1,-1,-1,-1,-1,-1,-1
-1,9,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,21,45,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,130,-1,0,-1,111,44,-1,33,-1,80,22,-1,-1
-1,-1,-1,60,-1,-1,41,-1,-1,-1,0,-1,-1,-1,-1,85,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,111,-1,0,-1,-1,-1,-1,-1,-1,-1,48
-1,-1,-1,-1,-1,-1,-1,53,21,44,-1,-1,0,45,-1,-1,38,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,45,-1,-1,-1,45,0,-1,-1,-1,-1,-1,20
-1,-1,-1,-1,-1,-1,34,-1,-1,33,-1,-1,-1,-1,0,-1,-1,-1,36,-1
54,-1,-1,-1,-1,-1,-1,-1,-1,-1,85,-1,-1,-1,-1,0,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,80,-1,-1,38,-1,-1,-1,0,-1,-1,-1
-1,-1,-1,-1,-1,-1,30,-1,-1,22,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,36,-1,-1,-1,0,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48,-1,20,-1,-1,-1,-1,-1,0
